country,year,metal_group,flow,trade_value_usd,weight_kg,Headline CPI
Switzerland,2017,Gold,Import,138745965,4.262,0.534
Switzerland,2017,Gold,Import,138755135,0.045,0.534
TÃ¼rkiye,2017,Gold,Import,11634,,
Switzerland,2017,Gold,Import,269,0.203,0.534
Switzerland,2017,Gold,Import,26359963,3.16,0.534
USA,2017,Gold,Import,1135154,0.024,
Afghanistan,2017,Gold,Import,85204,88.5,4.976
Albania,2017,Gold,Import,6077,4.404,1.987
Algeria,2017,Gold,Import,89858,46.182,5.591
Angola,2017,Gold,Import,211869,233.369,29.844
Azerbaijan,2017,Gold,Import,31321,24.21,12.844
Argentina,2017,Gold,Import,1493725,1649.437,25.675
Australia,2017,Gold,Import,3732692,3658.407,1.972
Australia,2017,Gold,Import,3701,,1.972
Austria,2017,Gold,Import,9109591,7511.952,2.23
Austria,2017,Gold,Import,1692,0.002,2.23
Bahamas,2017,Gold,Import,130877,152.69,1.553
Bahrain,2017,Gold,Import,95560,70.815,1.387
Bahrain,2017,Gold,Import,1604,0.013,1.387
Barbados,2017,Gold,Import,1939,1.993,4.41
Bosnia Herzegovina,2017,Gold,Import,268630,230.727,0.81
Brazil,2017,Gold,Import,2633938,2414.886,3.446
Brazil,2017,Gold,Import,112012,0.004,3.446
Brunei Darussalam,2017,Gold,Import,9793,5.34,-0.171
Bulgaria,2017,Gold,Import,626699,610.456,1.188
Myanmar,2017,Gold,Import,824,0.16,4.622
Belarus,2017,Gold,Import,25185,16.477,6.032
Cameroon,2017,Gold,Import,7215,11.128,0.642
Canada,2017,Gold,Import,2426104,1564.794,1.603
Canada,2017,Gold,Import,40229,0.001,1.603
Canada,2017,Gold,Import,4559,0.006,1.603
Cabo Verde,2017,Gold,Import,215302,210.878,0.783
Central African Rep.,2017,Gold,Import,75243,85.81,4.461
Sri Lanka,2017,Gold,Import,43097,30.031,6.581
Chad,2017,Gold,Import,474,0.443,-0.897
Chile,2017,Gold,Import,3067285,3757.843,2.183
Chile,2017,Gold,Import,321,0.001,2.183
China,2017,Gold,Import,273533,52.36,1.558
Colombia,2017,Gold,Import,190090,31.905,4.314
Congo,2017,Gold,Import,126396,101.407,0.449
Dem. Rep. of the Congo,2017,Gold,Import,55607,25.5,35.787
Costa Rica,2017,Gold,Import,15401,7.856,1.626
Croatia,2017,Gold,Import,1942887,2172.269,1.129
Cuba,2017,Gold,Import,690696,738.748,
Cyprus,2017,Gold,Import,2331659,1861.131,0.681
Cyprus,2017,Gold,Import,789,0.001,0.681
Czechia,2017,Gold,Import,3777350,4289.316,2.451
Czechia,2017,Gold,Import,917,,2.451
Benin,2017,Gold,Import,285,0.339,1.769
Denmark,2017,Gold,Import,7824578,8444.404,1.058
Denmark,2017,Gold,Import,1,,1.058
Denmark,2017,Gold,Import,1439,0.001,1.058
Dominican Rep.,2017,Gold,Import,442649,436.842,3.28
Ecuador,2017,Gold,Import,47791,56.367,0.417
Equatorial Guinea,2017,Gold,Import,26963,23.16,0.746
Ethiopia,2017,Gold,Import,153757,208.77,10.687
Estonia,2017,Gold,Import,653652,608.792,3.651
Estonia,2017,Gold,Import,147,,3.651
Falkland Isds (Malvinas),2017,Gold,Import,7366,8.7,
Fiji,2017,Gold,Import,5620,6.96,3.351
Finland,2017,Gold,Import,5567607,5156.59,0.839
France,2017,Gold,Import,107457128,135128.119,1.163
France,2017,Gold,Import,159,0.001,1.163
France,2017,Gold,Import,4877,0.003,1.163
France,2017,Gold,Import,355155,0.133,1.163
French Polynesia,2017,Gold,Import,123985,138.834,
Djibouti,2017,Gold,Import,4442,3.307,0.568
Gabon,2017,Gold,Import,48136,32.68,2.652
Georgia,2017,Gold,Import,23946,15.242,6.035
Germany,2017,Gold,Import,105611330,109325.576,1.711
Germany,2017,Gold,Import,3,,1.711
Germany,2017,Gold,Import,810255,0.101,1.711
Ghana,2017,Gold,Import,72238,51.386,12.372
Greece,2017,Gold,Import,2954589,3078.476,1.138
Greece,2017,Gold,Import,11832,0.012,1.138
